ZIP_CODE	STATE_ABBREV	COUNTY_NAME	CITY_NAME	STATE_SALES_TAX	STATE_USE_TAX	COUNTY_SALES_TAX	COUNTY_USE_TAX	CITY_SALES_TAX	CITY_USE_TAX	TOTAL_SALES_TAX	TOTAL_USE_TAX	TAX_SHIPPING_ALONE	TAX_SHIPPING_AND_HANDLING_TOGETHER
99775	AK	FAIRBANKS NORTH STAR	FAIRBANKS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99776	AK	SOUTHEAST FAIRBANKS	TANACROSS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99777	AK	YUKON KOYUKUK	TANANA	0.000000	0.000000	0.000000	0.000000	0.020000	0.000000	0.020000	0.000000	N	N
99778	AK	NOME	TELLER	0.000000	0.000000	0.000000	0.000000	0.030000	0.000000	0.030000	0.000000	N	N
99780	AK	SOUTHEAST FAIRBANKS	TOK	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99781	AK	YUKON KOYUKUK	VENETIE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99782	AK	NORTH SLOPE	WAINWRIGHT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99783	AK	NOME	WALES	0.000000	0.000000	0.000000	0.000000	0.030000	0.000000	0.030000	0.000000	N	N
99784	AK	NOME	WHITE MOUNTAIN	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.010000	0.000000	N	N
99785	AK	NOME	BREVIG MISSION	0.000000	0.000000	0.000000	0.000000	0.030000	0.000000	0.030000	0.000000	N	N
99786	AK	NORTHWEST ARCTIC	AMBLER	0.000000	0.000000	0.000000	0.000000	0.030000	0.000000	0.030000	0.000000	N	N
99788	AK	YUKON KOYUKUK	CHALKYITSIK	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99789	AK	NORTH SLOPE	NUIQSUT	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99790	AK	FAIRBANKS NORTH STAR	FAIRBANKS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99791	AK	NORTH SLOPE	ATQASUK	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	N	N
99801	AK	JUNEAU	JUNEAU	0.000000	0.000000	0.000000	0.000000	0.050000	0.000000	0.050000	0.000000	N	N
